id,fecha,ubicacion,aerolinea,ruta,tipo,total_abordo,fallecidos,fallecidos_en_tierra,anio
2351,1968-07-13,"Near Lagos, Nigeria",Sabena,Brussels - Lagos,Boeing 707-329C,7,7,0,1968
2352,1968-07-15,"Gravata, Brazil",Varig,São Paulo - Recife,Curtiss C-46C,3,3,0,1968
2353,1968-07-18,Off Chili,Aerolineas Flecha Austral,sin informacion,Curtiss C-46D,5,5,0,1968
2354,1968-08-02,"Near Milan, Italy",Alitalia,Rome - Milan - Montreal,McDonnell Douglas DC-8,95,13,0,1968
2355,1968-08-04,"Milwaukee, Wisconsin",North Central Airlines / Private,sin informacion,Convair CV-580 / Cessna 150,15,3,0,1968
2356,1968-08-09,"Pfaffenhofen, Germany",British Eagle International Airlines,London - Innsbruck,Vickers Viscount 739A,48,48,0,1968
2357,1968-08-10,"Charleston, West Virginia",Piedmont Airlines,"Cincinnati - Charleston, WV",Fairchild-Hiller FH-227B,37,35,0,1968
2358,1968-08-14,"Compton, California",Los Angeles Airways,sin informacion,Sikorsky S-61L helicopter,21,21,0,1968
2359,1968-08-18,"Off Port Said, Egypt",United Arab Airlines,Cairo - Damascus,Antonov AN-24V,40,40,0,1968
2360,1968-08-20,"Near Maturin, Venezuela",Linea Aeropostal Venezolana,Maturín - Tucupita,Hawker Siddeley HS-748-215-2,7,4,0,1968
2361,1968-08-31,"Near Odda, Norway",Westwing,sin informacion,de Havilland Canada DHC-3 Otter,6,5,0,1968
2362,1968-09-03,"Near Burgas, Bulgaria",Bulair TABSO,Berlin - Sofia - Burgas,Ilyushin IL-18,89,47,0,1968
2363,1968-09-08,"Flushing, New York",Far Aviation - Air Taxi / Speeds Flying - Air Taxi,sin informacion,Cessna 402 / Piper PA-28,9,2,0,1968
2364,1968-09-11,"Off Cap d'Antibes, France",Air France,Ajaccio - Nice,Sud-Aviation Caravelle 3,95,95,0,1968
2365,1968-09-28,"Port Harcourt, Biafra, Nigeria",Pan African Airlines,Lagos - Port Harcourt,Douglas C-54B,57,57,1,1968
2366,1968-10-08,"Puerto Cortes, Costa Rica",Aerovias del Valle,San José - Paso Canoas,Britten-Norman BN-2 Islander,10,10,0,1968
2367,1968-10-11,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Praha - Kosice,Avia 14-40,40,11,0,1968
2368,1968-10-20,"Feijó, Brazil",Cruzeiro,sin informacion,Douglas C-47A-25,19,19,0,1968
2369,1968-10-21,"Near Ban Me Thuot, South Vietnam",Military - U.S. Air Force,Saigon - Da Nang,Douglas C-47D,23,23,0,1968
2370,1968-10-25,"Hanover, New Hampshire",Northeast Airlines,"Boston, MA - Montpelier, VT - Lebanon, NH",Fairchild-Hiller FH227C,42,32,0,1968
2371,1968-11-22,"Off San Francisco, California",Japan Air Lines,Tokyo - San Francisco,McDonnell Douglas DC-8-62,107,0,0,1968
2372,1968-11-23,"Santa Ana, California",Cable Commuter,Los Angeles - Santa Ana,de Havilland Canada DHC-6 Twin Otter 200,9,9,0,1968
2373,1968-11-25,"Savannakhet, Laos",Air America,Savannakhét - Vientiane,Curtiss C-46D-20-CU,28,26,0,1968
2374,1968-12-02,"Pedro Bay, Alaska",Wien Consolidated Airlines,Anchorage - Iliamna,Fairchild F-27B,39,39,0,1968
2375,1968-12-12,"Near Caracas, Venezuela",Pan American World Airways,New York City - Caracas,Boeing B-707-321B,51,51,0,1968
2376,1968-12-24,"Bradford, Pennsylvania",Allegheny Airlines,Detroit - Erie - Bradford - Washington D.C.,Convair CV-580,47,20,0,1968
2377,1968-12-24,"Prudhoe Bay, Alaska",Interior Airways,Fairbanks - Prudhoe Bay,Lockheed L-100 Hercules,4,2,0,1968
2378,1968-12-26,"Elmendorf Air Force Base, Alaska",Pan American World Airways,"San Francisco - Anchorage - Cam Ranh Bay, Vietnam",Boeing 707-321CF,3,3,0,1968
2379,1968-12-26,"Ensenada, Mexico",Exportada De Sal S.A.,Tijuana - Guerrero Negro,Douglas DC-3,12,12,0,1968
2380,1968-12-27,"Chicago, Illinois",North Central Airlines,Minneapolis - Chicago - Milwaukee,Convair CV-580,45,27,1,1968
2381,1968-12-31,"Near Ciudad Victoria, Mexico",Servicios Aéreos Especiales,Reynosa - Tampico,Douglas DC-3,26,26,0,1968
2382,1968-12-31,"Port Hedland, WA, Australia",MacRobertson Miller Airlines,Perth - Port Hedland,Vickers Viscount 720,26,26,0,1968
2383,1969-01-02,"Tyonek, Alaska",ERA Helicopter,sin informacion,Bell 205A,2,2,0,1969
2384,1969-01-02,"Mt. Paku, Taiwan",China Airlines (Taiwan),Kaohsiung - Hualien,Douglas DC-3D,24,24,0,1969
2385,1969-01-05,"Gatwick Airport, Horley, Surrey,  England",Ariana Afghan Airlines,Frankfurt - London,Boeing B-727-113C,62,48,2,1969
2386,1969-01-06,"Near Bradford, Pennsylvania",Allegheny Airlines,Washington - Harrisburgh - Bradford - Erie - Detroit,Convair CV-580,28,11,0,1969
2387,1969-01-13,"Off Los Angeles, California",Scandinavian Airlines (SAS),Copenhagen - Los Angeles - Seattle,McDonnell Douglas DC-8-62,45,15,0,1969
2388,1969-01-16,"Near Hue, Vietnam",Air America,Hue - da Nang,Douglas C-47 Skytrain (DC-3),12,12,0,1969
2389,1969-01-18,"Off Los Angeles, California",United Air Lines,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,38,38,0,1969
